files,labels,fussed_labels
9518_right,5,4.611737992712938
9598_left,5,4.604851380849178
9598_right,5,4.783286112431716
9608_left,5,5.303056848612775
9608_right,5,5.32071685524447
9680_left,5,5.171364386083325
9682_left,5,5.048543873655588
9682_right,5,5.06114151095198
9783_right,5,4.8225941356134285
9863_left,5,5.25311186533232
9863_right,5,4.983647611417233
9942_left,5,4.524270889878459
10017_left,5,5.203865578690494
10017_right,5,4.818315545745098
10047_right,5,5.016487814571678
10193_right,5,5.485053032487921
10312_left,5,4.513476827101228
10321_left,5,5.090756584731109
10570_left,5,4.866272083533599
10570_right,5,4.745592119177637
10653_left,5,5.171250210599075
10653_right,5,4.622677032521936
10785_left,5,4.674668273736631
10785_right,5,5.251187172368672
10904_left,5,4.918288432487381
10904_right,5,5.40158148931255
10954_left,5,5.35813180372668
10954_right,5,5.180583223951783
11032_left,5,5.486989856196044
11032_right,5,5.117811123677551
11417_right,5,4.719180014597438
11492_left,5,4.946802248695926
11492_right,5,5.384362425467707
11730_right,5,4.727283356649357
11807_left,5,4.536833421802748
11854_left,5,5.0579816425228685
11854_right,5,4.564774499055988
11874_left,5,4.846301745660191
11874_right,5,4.635578069665033
11896_left,5,5.11109014130856
11896_right,5,5.04485238726918
12014_right,5,4.764636920562173
12108_left,5,4.547751332793352
12108_right,5,5.127333724321701
12419_left,5,5.114765097519717
12419_right,5,4.922871420933596
12652_left,5,4.835086289986111
12861_left,5,4.507095314443763
12861_right,5,4.903130119375502
12995_left,5,5.389574769575153
13022_right,5,4.743731169591286
13038_right,5,5.244247196747892
13066_right,5,5.016872421734307
13222_left,5,5.471266625179153
13308_right,5,5.105973171043846
13387_left,5,4.550137341874546
13387_right,5,4.909220965162977
13395_right,5,4.9287568533898725
13588_right,5,5.425469402320304
13651_right,5,4.859114327809529
13664_left,5,5.085905059060052
13664_right,5,4.939465517395099
13669_left,5,4.665082729921688
13669_right,5,4.818987486330905
13705_left,5,4.767222427201999
13811_left,5,4.623522078417799
13811_right,5,4.744579726434619
13819_left,5,5.001118797165502
13819_right,5,4.8938687712788616
13938_left,5,4.809519149940836
13966_left,5,4.757136694654588
13999_left,5,4.603424097362272
13999_right,5,5.461526282453613
14021_right,5,5.06909731285274
14025_right,5,4.573813027251835
14084_left,5,5.480951348294212
14084_right,5,4.880800330170497
14340_left,5,5.285235727610498
14436_right,5,4.994923419118895
14495_right,5,4.7949898079670366
14765_right,5,5.060548593593903
14844_left,5,4.774508443442073
14844_right,5,4.771288160009059
14849_left,5,4.73382233802698
14849_right,5,4.723808261036223
14976_left,5,4.739105374628676
14976_right,5,4.805641085642228
15038_left,5,4.505385812635847
15038_right,5,4.575033581745481
15114_left,5,4.796510963785282
15149_left,5,4.703903003341509
15149_right,5,5.093726770520104
15343_left,5,4.813789000094886
15343_right,5,5.466189584981077
15376_left,5,5.26191396877975
15388_left,5,4.551750722080433
15414_left,5,4.685983835324406
15414_right,5,4.776877227600493
15459_left,5,4.610729395668496
15459_right,5,5.2195656720680095
15590_left,5,4.8886485731132
15590_right,5,5.313916011305826
15870_right,5,5.43018569288371
15941_left,5,5.46824360116572
15975_left,5,5.343039037829128
15975_right,5,5.496998333849952
16007_right,5,4.76629945752094
16046_right,5,4.707401833188754
16114_left,5,5.039452897637905
16114_right,5,5.438222897206048
16309_left,5,4.56806306838566
16309_right,5,4.672896681486474
16392_left,5,4.933994237681217
16392_right,5,5.222591884108421
16413_left,5,5.237805855118849
16413_right,5,4.882015934680136
16565_left,5,5.3677773535627145
16565_right,5,5.01900471022754
16581_right,5,4.843584389480461
16802_left,5,4.943941686196825
16802_right,5,5.269570490998127
16920_left,5,4.6496444078014445
17114_right,5,4.558723657268091
17135_left,5,4.857817188202669
17135_right,5,5.263407890814293
17221_left,5,4.715828309364657
17221_right,5,4.690860060675203
17411_right,5,4.505619892249398
17426_left,5,4.636379571965678
17426_right,5,5.404874059691921
17453_left,5,5.277268359512342
17453_right,5,5.106954599037635
17489_left,5,4.612759633442805
17489_right,5,4.855043731174585
17669_right,5,4.772463043553868
17749_left,5,4.621121829682034
17899_right,5,5.024516215458433
17925_left,5,5.177837843547758
17940_left,5,5.363171694343579
17940_right,5,5.45829037503268
18017_left,5,4.619817232659844
18030_left,5,4.779042068391242
18030_right,5,4.592253021750763
18059_right,5,4.933653000536033
18143_right,5,5.16046852458938
18370_left,5,5.455461237730998
18567_left,5,5.086665056694172
18567_right,5,4.825838787944601
18798_left,5,5.357261077180633
18803_right,5,5.275128400589454
18819_left,5,4.958190781009822
18902_left,5,4.553380349979236
18902_right,5,5.205771567371191
19005_right,5,5.384885861583469
19061_left,5,4.693147551343839
19061_right,5,5.335639194505719
19110_left,5,4.67536946961557
19110_right,5,5.478609543975841
19116_right,5,5.110593642728165
19285_right,5,4.599067305867495
19347_left,5,4.803446318028303
19347_right,5,5.133736520350332
19471_left,5,4.561965720035926
19471_right,5,5.308758665455126
19485_right,5,5.42673239586111
19586_left,5,5.350145207480269
19588_left,5,5.015241889502463
19588_right,5,4.962703041657159
19600_left,5,4.790575048508377
19604_left,5,4.978178505605673
19604_right,5,4.984565249269732
19663_left,5,4.970973250338432
19663_right,5,5.0462251043251385
19748_left,5,4.912210923395081
19748_right,5,4.879219473405547
19771_left,5,5.098821653871047
19771_right,5,4.577164178283576
19961_left,5,4.714681616764963
20026_left,5,4.891508299095445
20026_right,5,4.970014843973512
20111_left,5,5.401834679296098
20144_left,5,4.7229854317810505
20144_right,5,4.941934418643651
20146_right,5,4.8437946657792965
20432_right,5,5.236524411061095
20458_right,5,5.205169245939507
20574_left,5,5.035655809372569
20752_left,5,4.909100560388481
20752_right,5,5.182773569416494
20855_left,5,5.0407804726680565
20855_right,5,5.053796718000799
21033_right,5,4.979784314462049
21096_left,5,4.762062132414961
21096_right,5,4.9940192889644175
21190_left,5,5.475907496850605
21190_right,5,5.037777750727464
21205_left,5,4.750902240976078
21205_right,5,4.925784806119989
21373_left,5,5.481212959008349
